"B13_Stratum","StationID","Replicate","NumOfTaxa","NumOfMolluscTaxa","NotomastusAbun","PctSensTaxa"
"Brackish Estuaries","B18-10199",1,64,20,NA,3.125
"Estuaries","B18-10168",1,38,23,NA,5.26315789473684
"Estuaries","B18-10169",1,72,28,NA,4.16666666666667
"Estuaries","B18-10170",1,69,31,NA,7.2463768115942
"Estuaries","B18-10171",1,50,10,NA,2
"Estuaries","B18-10172",1,56,36,NA,19.6428571428571
"Estuaries","B18-10173",1,70,26,NA,10
"Estuaries","B18-10182",1,57,35,1,10.5263157894737
"Estuaries","B18-10194",1,91,31,NA,3.2967032967033
"Estuaries","B18-10201",1,100,30,NA,3
"Estuaries","B18-10824",1,75,26,NA,8
