"StationID","Replicate","SampleDate","Latitude","Longitude","SalZone","AMBI_Score","S","H","Oligo_pct","MAMBI_Score","Orig_MAMBI_Condition","New_MAMBI_Condition","Use_MAMBI","Use_AMBI","YesEG"
"B18-10182",1,2018-09-19,32.55694,-117.12755,"WEH",1.92,20,3.13739849900015,NA,0.599,"Good","Reference","Yes","Yes",98
"B18-10199",1,2018-08-08,32.65825,-117.08304,"WPH",2.87026359143328,18,1.32104875012364,NA,0.393,"Moderate","Moderate Disturbance","Yes","Yes",99.670510708402
"B18-10194",1,2018-08-10,32.97614,-117.24785,"WEH",1.77224199288256,31,3.35137916449721,NA,0.669,"Good","Reference","Yes","Yes",82.3250296559905
"B18-10201",1,2018-09-26,32.59896,-117.11546,"WEH",2.19341317365269,43,4.20175291059013,NA,0.76,"Good","Reference","Yes","Yes",83.1137724550898
"B18-10201",2,2018-09-26,32.59896,-117.11546,"WEH",2.08081155433287,54,4.39167714976773,NA,0.826,"High","Reference","Yes","With Care",74.6217331499312
"B18-10824",1,2018-09-26,32.58854,-117.10763,"WEH",3.53087885985748,20,3.19843746849526,NA,0.502,"Moderate","Low Disturbance","Yes","Yes",88.8361045130641
"B18-10173",1,2018-09-12,33.08952,-117.28498,"WEH",1.80405405405405,23,3.45813767676264,NA,0.645,"Good","Reference","Yes","With Care",59.7297297297297
"B18-10171",1,2018-09-12,33.08992,-117.27848,"WEH",5.49607072691552,11,1.09516772739429,NA,0.166,"Bad","High Disturbance","Yes","Yes",99.2141453831041
"B18-10172",1,2018-09-12,33.0896,-117.29459,"WEH",1.7710843373494,25,3.33881806537046,NA,0.645,"Good","Reference","Yes","With Care",71.6867469879518
"B18-10170",1,2018-09-11,33.13903,-117.33747,"WEH",1.80150753768844,25,3.23962956598197,NA,0.635,"Good","Reference","Yes","Yes",98.4924623115578
"B18-10169",1,2018-09-11,33.13982,-117.31879,"WEH",2.04166666666667,14,3.25376592711062,NA,0.578,"Good","Reference","Yes","Yes",100
"B18-10168",1,2018-09-11,33.14021,-117.32424,"WEH",1.57692307692308,11,2.89378609696779,NA,0.566,"Good","Low Disturbance","Yes","Yes",89.7435897435897
