"B13_Stratum","StationID","Replicate","NumOfTaxa","NumOfMolluscTaxa","NumOfCrustaceanTaxa","CrustaceanAbun","M_insidiosumAbun","A_diegensisAbun","G_littoreaAbun","CapitellaAbun","OligochaetaAbun","scaled_NumTaxa","scaled_NumMolluscTaxa","scaled_NumCrustaceanTaxa","scaled_CrustaceanAbun","TWV","NIT","PIT","Raw_RBI","RBI_Score"
"Brackish Estuaries","B18-10199",1,64,20,13,1023,0,0,0,2,6,0.646464646464647,0.714285714285714,0.448275862068966,0.604252805670408,1.96008942423693,-0.2,0,1.76008942423693,0.368889003035592
"Estuaries","B18-10168",1,41,23,1,2,0,0,0,NA,NA,0.414141414141414,0.821428571428571,0.0344827586206897,0.00118133490844654,1.27034807791779,0,0,1.27034807791779,0.264466541133856
"Estuaries","B18-10169",1,72,28,NA,NA,0,0,0,1,4,0.727272727272727,1,0,0,1.72727272727273,-0.2,0,1.52727272727273,0.319247916262842
"Estuaries","B18-10170",1,69,31,5,2,0,1,0,NA,1,0.696969696969697,1.10714285714286,0.172413793103448,0.00118133490844654,1.97682168094311,-0.1,0.438691337650831,2.75420435624478,0.580853807301658
"Estuaries","B18-10171",1,50,10,1,2,0,0,0,2,416,0.505050505050505,0.357142857142857,0.0344827586206897,0.00118133490844654,0.896971454541163,-0.2,0,0.696971454541163,0.142211397556751
"Estuaries","B18-10172",1,56,36,12,14,0,0,0,NA,NA,0.565656565656566,1.28571428571429,0.413793103448276,0.00826934435912581,2.26723129090891,0,0,2.26723129090891,0.477021597208723
"Estuaries","B18-10173",1,70,26,13,32,0,0,0,NA,12,0.707070707070707,0.928571428571429,0.448275862068966,0.0189013585351447,2.08864333734489,-0.1,0,1.98864333734489,0.417621180670552
"Estuaries","B18-10182",1,57,35,9,34,0,0,0,NA,NA,0.575757575757576,1.25,0.310344827586207,0.0200826934435913,2.14112307670468,0,0,2.14112307670468,0.450132852175838
"Estuaries","B18-10194",1,91,31,18,82,0,0,0,9,3,0.919191919191919,1.10714285714286,0.620689655172414,0.0484347312463083,2.65913311431877,-0.2,0,2.45913311431877,0.517938830345153
"Estuaries","B18-10201",1,100,30,12,172,0,0,0,6,66,1.01010101010101,1.07142857142857,0.413793103448276,0.101594802126403,2.52072138550946,-0.2,0,2.32072138550946,0.488426734650204
"Estuaries","B18-10824",1,75,26,15,21,0,0,0,21,124,0.757575757575758,0.928571428571429,0.517241379310345,0.0124040165386887,2.2064895695922,-0.2,0,2.0064895695922,0.421426347461024
